observation_date,FF
12/25/2024,4.33
12/18/2024,4.58
12/11/2024,4.58
12/4/2024,4.58
11/27/2024,4.58
11/20/2024,4.58
11/13/2024,4.62
11/6/2024,4.83
10/30/2024,4.83
10/23/2024,4.83
10/16/2024,4.83
10/9/2024,4.83
10/2/2024,4.83
9/25/2024,4.83
9/18/2024,5.33
9/11/2024,5.33
9/4/2024,5.33
8/28/2024,5.33
8/21/2024,5.33
8/14/2024,5.33
8/7/2024,5.33
7/31/2024,5.33
7/24/2024,5.33
7/17/2024,5.33
7/10/2024,5.33
7/3/2024,5.33
6/26/2024,5.33
6/19/2024,5.33
6/12/2024,5.33
6/5/2024,5.33
5/29/2024,5.33
5/22/2024,5.33
5/15/2024,5.33
5/8/2024,5.33
5/1/2024,5.33
4/24/2024,5.33
4/17/2024,5.33
4/10/2024,5.33
4/3/2024,5.33
3/27/2024,5.33
3/20/2024,5.33
3/13/2024,5.33
3/6/2024,5.33
2/28/2024,5.33
2/21/2024,5.33
2/14/2024,5.33
2/7/2024,5.33
1/31/2024,5.33
1/24/2024,5.33
1/17/2024,5.33
1/10/2024,5.33
1/3/2024,5.33
12/27/2023,5.33
12/20/2023,5.33
12/13/2023,5.33
12/6/2023,5.33
11/29/2023,5.33
11/22/2023,5.33
11/15/2023,5.33
11/8/2023,5.33
11/1/2023,5.33
10/25/2023,5.33
10/18/2023,5.33
10/11/2023,5.33
10/4/2023,5.33
9/27/2023,5.33
9/20/2023,5.33
9/13/2023,5.33
9/6/2023,5.33
8/30/2023,5.33
8/23/2023,5.33
8/16/2023,5.33
8/9/2023,5.33
8/2/2023,5.33
7/26/2023,5.08
7/19/2023,5.08
7/12/2023,5.08
7/5/2023,5.08
6/28/2023,5.07
6/21/2023,5.08
6/14/2023,5.08
6/7/2023,5.08
5/31/2023,5.08
5/24/2023,5.08
5/17/2023,5.08
5/10/2023,5.08
5/3/2023,4.83
4/26/2023,4.83
4/19/2023,4.83
4/12/2023,4.83
4/5/2023,4.83
3/29/2023,4.83
3/22/2023,4.58
3/15/2023,4.57
3/8/2023,4.57
3/1/2023,4.58
2/22/2023,4.58
2/15/2023,4.58
2/8/2023,4.58
2/1/2023,4.33
1/25/2023,4.33
1/18/2023,4.33
1/11/2023,4.33
1/4/2023,4.33
12/28/2022,4.33
12/21/2022,4.33
12/14/2022,3.83
12/7/2022,3.83
11/30/2022,3.83
11/23/2022,3.83
11/16/2022,3.83
11/9/2022,3.83
11/2/2022,3.08
10/26/2022,3.08
10/19/2022,3.08
10/12/2022,3.08
10/5/2022,3.08
9/28/2022,3.08
9/21/2022,2.33
9/14/2022,2.33
9/7/2022,2.33
8/31/2022,2.33
8/24/2022,2.33
8/17/2022,2.33
8/10/2022,2.33
8/3/2022,2.33
7/27/2022,1.58
7/20/2022,1.58
7/13/2022,1.58
7/6/2022,1.58
6/29/2022,1.58
6/22/2022,1.58
6/15/2022,0.83
6/8/2022,0.83
6/1/2022,0.83
5/25/2022,0.83
5/18/2022,0.83
5/11/2022,0.83
5/4/2022,0.33
4/27/2022,0.33
4/20/2022,0.33
4/13/2022,0.33
4/6/2022,0.33
3/30/2022,0.33
3/23/2022,0.33
3/16/2022,0.08
3/9/2022,0.08
3/2/2022,0.08
2/23/2022,0.08
2/16/2022,0.08
2/9/2022,0.08
2/2/2022,0.08
1/26/2022,0.08
1/19/2022,0.08
1/12/2022,0.08
1/5/2022,0.08
12/29/2021,0.08
12/22/2021,0.08
12/15/2021,0.08
12/8/2021,0.08
12/1/2021,0.08
11/24/2021,0.08
11/17/2021,0.08
11/10/2021,0.08
11/3/2021,0.08
10/27/2021,0.08
10/20/2021,0.08
10/13/2021,0.08
10/6/2021,0.08
9/29/2021,0.08
9/22/2021,0.08
9/15/2021,0.08
9/8/2021,0.08
9/1/2021,0.08
8/25/2021,0.09
8/18/2021,0.1
8/11/2021,0.1
8/4/2021,0.09
7/28/2021,0.1
7/21/2021,0.1
7/14/2021,0.1
7/7/2021,0.1
6/30/2021,0.1
6/23/2021,0.1
6/16/2021,0.06
6/9/2021,0.06
6/2/2021,0.05
5/26/2021,0.06
5/19/2021,0.06
5/12/2021,0.06
5/5/2021,0.06
4/28/2021,0.07
4/21/2021,0.07
4/14/2021,0.07
4/7/2021,0.07
3/31/2021,0.07
3/24/2021,0.07
3/17/2021,0.07
3/10/2021,0.07
3/3/2021,0.07
2/24/2021,0.07
2/17/2021,0.08
2/10/2021,0.08
2/3/2021,0.07
1/27/2021,0.08
1/20/2021,0.09
1/13/2021,0.09
1/6/2021,
